Armenian Script,Translit.,English Meaning,Example Sentence + [Translation],Grammar (Root/Infinitive + Imperative),Cheat Phrase (Mnemonic),Topic/Tag
փողոց,p'oghots',street,Մեր փողոցը շատ հանգիստ է։ [Our street is very quiet.],Noun. Root: փողոց (p'oghots'). Definite form: փողոցը (p'oghots'@).,A POG GOAT is running down the street.,Places & Buildings
փոստ,p'ost,mail / email,"Ստուգիր էլեկտրոնային փոստդ, ես քեզ նամակ եմ ուղարկել։ [Check your email, I sent you a letter.]",Noun. Root: փոստ (p'ost). From Russian/International 'post'. Often used as էլ․ փոստ (el. p'ost) for 'e-mail'.,I tied the mail to the fence POST.,General
փորձել,p'ordzel,try,Ես ուզում եմ փորձել այդ նոր ռեստորանը։ [I want to try that new restaurant.],Verb. Infinitive: փորձել (p'ordzel). Imperative: փորձի՛ր (p'ordzir). The noun փորձ (p'ordz) means 'experience' or 'attempt'.,Try a pretzel from PORT ZELDA.,Actions & Verbs
փոցխ,p'ots'kh,rake,"Աշնանը ես տերևները հավաքում եմ փոցխով։ [In the autumn, I collect the leaves with a rake.]",Noun. Root: փոցխ (p'ots'kh). An instrument used for gardening.,The FOX stole my rake!,Objects & Tools
փոքր,p'ok'r,small,Ես ապրում եմ փոքր տանը։ [I live in a small house.],Root: փոքր (p'ok'r). An adjective that typically precedes the noun it modifies.,The POKER chips I won were very SMALL.,Adjectives & Qualities
քաղաք,k'aghak',city,Երևանը մեծ և գեղեցիկ քաղաք է։ [Yerevan is a big and beautiful city.],Root: քաղաք (k'aghak'). Definite form: քաղաքը (k'aghak'e). Plural: քաղաքներ (k'aghak'ner).,He drove a CAR that was LACKing a roof through the CITY.,Places & Buildings
քաղաքացի,k'aghak'ats'i,citizen,Ես Հայաստանի քաղաքացի եմ։ [I am a citizen of Armenia.],"Root: քաղաքացի (k'aghak'ats'i). Derived from քաղաք (k'aghak', 'city') + ացի (-ats'i, 'inhabitant of'). Definite form: քաղաքացին (k'aghak'ats'in).",The CITY's CITIZEN has to SIT down.,People & Family
քաղցր,k'aghts'r,sweet,Այս տորթը շատ քաղցր է։ [This cake is very sweet.],Root: քաղցր (k'aghts'r). A simple adjective describing taste.,The candy was so SWEET it felt like it CUTS your throat.,Food & Dining
քայլել,k'aylel,walk,Ես սիրում եմ քայլել այգում։ [I like to walk in the park.],"Infinitive: քայլել (k'aylel). Imperative (you, singular): քայլի՛ր (k'ayli'r).",I like to WALK with KYLIE.,Actions & Verbs
քանի՞,k'ani,how many,Քանի՞ տարեկան ես։ [How old are you? (lit: How many years old are you?)],Interrogative pronoun/adverb. Used to ask about quantity.,HOW MANY CANS of soda do you have?,Numbers & Quantity
քառասուն,k'arrasun,40,Իմ հայրը քառասուն տարեկան է։ [My father is 40 years old.],"Cardinal number. From քառ- (k'arr-, 'four') + -սուն (-sun, suffix for tens). Literally 'four-tens'.",A CAR AS SOON as it turns 40 needs a check-up.,Numbers & Quantity
քեռի,k'erri,uncle (mother's),Իմ քեռին բժիշկ է։ [My uncle (mother's brother) is a doctor.],"Noun. Specifically refers to the maternal uncle (mother's brother), distinct from the paternal uncle (հորեղբայր). Definite form: քեռին (k'errin).",My UNCLE (mother's side) loves KERRYgold butter.,People & Family
քիչ,k'ich',little,Ես քիչ հայերեն եմ խոսում։ [I speak a little Armenian.],Adverb/Adjective. Means 'a little' or 'few'. Often used with մի (mi) as մի քիչ (mi k'ich') for 'a little bit'.,I only want a LITTLE bit of QUICHE.,Numbers & Quantity
քնել,k'nel,to sleep,Ես ուզում եմ շուտ քնել այսօր։ [I want to sleep early today.],"Infinitive: քնել (k'nel). Imperative (you, singular): քնի՛ր (k'ni'r).",You should KNEEL by the bed before you SLEEP.,Actions & Verbs
քո,k'o,your (singular),Սա քո՞ գիրքն է։ [Is this your book?],"Possessive pronoun, 2nd person singular informal. It always precedes the noun.",Is that YOUR COW?,General
քույր,k'uyr,sister,Իմ քույրը ինձնից մեծ է։ [My sister is older than me.],Noun. Definite form: քույրը (k'uyre). Plural: քույրեր (k'uyrer).,My SISTER is way COOLER than I am.,People & Family
քսան,k'san,20,Այս գիրքը քսան դոլար արժե։ [This book costs 20 dollars.],Cardinal number for twenty.,Can you buy 20 cans of tuna?,Numbers & Quantity
օգնել,ognel,help,Կարո՞ղ ես ինձ օգնել։ [Can you help me?],"Infinitive: օգնել (ognel). Imperative (you, singular): օգնի՛ր (ogni'r). The person being helped is in the dative case (e.g., ինձ, 'to me').",The OAK BELL is rung when you need HELP.,Actions & Verbs
օգնություն,ognut'yun,help,"Օգնությո՛ւն, ես մոլորվել եմ։ [Help, I am lost!]",Noun. Formed from the verb օգնել (ognel) + the suffix -ություն (-ut'yun) to create an abstract noun.,The OAK NEW TUNE is the signal for HELP.,General
օգոստոս,օգոստոս,August,"Օգոստոսին Հայաստանում շատ շոգ է։ [In August, it is very hot in Armenia.]","Noun, month of the year. Loanword from Latin 'Augustus'. Locative case (in August) is Օգոստոսին (Ogostosin).","In AUGUST, OH, GO TOAST us some marshmallows.","Time, Calendar & Seasons"
օգտակար,ogtakar,useful,Այս բառարանը շատ օգտակար է։ [This dictionary is very useful.],"Adjective. A compound word from օգուտ (ogut, 'benefit') and -ակար (-akar, 'having'), meaning 'benefit-having' or 'beneficial'.",An OAK CAR is very USEFUL for carrying heavy things.,Adjectives & Qualities
օդ,od,air,Լեռներում օդը մաքուր է։ [The air in the mountains is clean.],Root: օդ (od). A simple noun. Definite form: օդը (ode).,It's ODD that the AIR is purple here.,Nature & Environment
օդանավակայան,odanavakayan,airport,Ինքնաթիռը վայրէջք կատարեց «Զվարթնոց» օդանավակայանում։ [The plane landed at 'Zvartnots' airport.],"Compound noun: օդ (od, 'air') + նավ (nav, 'ship') + կայան (kayan, 'station'). Literally an 'air-ship-station'.","At the AIRPORT, it was ODD a NAVY ship had a CANYON on it.",Travel & Transportation
օպերա,opera,opera,Երևանի Օպերայի շենքը շատ գեղեցիկ է։ [The Yerevan Opera building is very beautiful.],Noun. An international loanword. Definite form: օպերան (operan).,Let's go to the OPERA.,Places & Buildings
օր,or,day,Այսօր շատ արևոտ օր է։ [Today is a very sunny day.],Noun. Root: օր (or). Definite form: օրը (oruh). Plural: օրեր (orer).,"OR it could be night, but right now it's a new day.","Time, Calendar & Seasons"
օֆիս,ofis,office,Ես աշխատում եմ մեծ օֆիսում։ [I work in a big office.],Noun. Root: օֆիս (ofis). A loanword from Russian/International 'office'. Definite form: օֆիսը (ofisuh).,"OH, FEAST! They brought donuts to the office!",Places & Buildings
ֆաբրիկա,fabrika,factory,Այդ ֆաբրիկան կահույք է արտադրում։ [That factory produces furniture.],Noun. Root: ֆաբրիկա (fabrika). A loanword from Russian 'фабрика'. Definite form: ֆաբրիկան (fabrikan).,They FABRICATE everything in that factory.,Places & Buildings
ֆերմա,ferma,farm,Իմ պապիկը ֆերմա ունի գյուղում։ [My grandfather has a farm in the village.],Noun. Root: ֆերմա (ferma). A loanword from Russian/International 'farm'. Definite form: ֆերման (ferman).,The ground on this farm is very FIRM-A.,Places & Buildings
ֆիզիկա,fizika,physics,"Ֆիզիկան բարդ, բայց հետաքրքիր գիտություն է։ [Physics is a difficult but interesting science.]",Noun. Root: ֆիզիկա (fizika). International word. Definite form: ֆիզիկան (fizikan).,It was quite a FEAT-SEEKER to pass my physics exam.,General
ֆիլմ,film,film,Եկեք երեկոյան նոր ֆիլմ դիտենք։ [Let's watch a new film in the evening.],Noun. Root: ֆիլմ (film). International word. Definite form: ֆիլմը (filmuh).,This Armenian film sounds just like the English word 'film'.,General
ֆինանս,finans,finance,Նա ֆինանսների ոլորտի մասնագետ է։ [She is a specialist in the field of finance.],Noun. Root: ֆինանս (finans). International word. Often used in plural: ֆինանսներ (finansner).,"To get good at finance, you need to FIND NANCE.",General
ֆոտո,foto,photo,Սա իմ ամենասիրելի ընտանեկան ֆոտոն է։ [This is my most favorite family photo.],"Noun. Root: ֆոտո (foto). International word, short for 'photograph'. Definite form: ֆոտոն (foton).",I've got-A FOTO of you! It's a photo.,Objects & Tools
ֆուտբոլ,futbol,football,Տղաները բակում ֆուտբոլ են խաղում։ [The boys are playing football in the yard.],Noun. Root: ֆուտբոլ (futbol). International word. Definite form: ֆուտբոլը (futboluh).,"My FOOT is on the BALL, I'm playing football.",General
և,ev,and,Ես սիրում եմ խնձոր և տանձ։ [I like apples and pears.],Conjunction. Root: և (ev). This is the formal or written form of 'and'.,Think of Adam and EVE (ev).,General
և / ու,ev / u,and,Մայրիկն ու հայրիկը տանն են։ [Mom and Dad are at home.],"Conjunctions. և (ev) is formal/written, connecting clauses or in formal speech. ու (u) is informal/spoken, typically used between two words.",Me and YOU (u) are friends.,General
